PUBLIC_ROUTE_NAME,TRIP_ID,BLOCK_NAME,LONGITUDE,LATITUDE,SCHEDULED_ARRIVAL_TIME
01,5212999,119,-122.409774,37.79379,10/1/2012 10:31:00.881000 AM
01,5212999,119,-122.433669,37.789839,10/1/2012 10:19:00.887000 AM
01,5213002,110,-122.409774,37.79379,10/1/2012 10:46:00.148000 AM
01,5213002,110,-122.401118,37.79482,10/1/2012 10:52:00.159000 AM
01,5213002,110,-122.493227,37.779744,10/1/2012 10:10:00.170000 AM
01,5213002,110,-122.396996,37.795415,10/1/2012 10:54:00.178000 AM
01,5213002,110,-122.464709,37.784902,10/1/2012 10:21:00.186000 AM
01,5213002,110,-122.420714,37.792385,10/1/2012 10:41:00.194000 AM
01,5213002,110,-122.446885,37.787149,10/1/2012 10:28:00.201000 AM
01,5213002,110,-122.433669,37.789839,10/1/2012 10:34:00.211000 AM
01,5213013,105,-122.420714,37.792385,10/1/2012 11:35:00.482000 AM
01,5213013,105,-122.464709,37.784902,10/1/2012 11:15:00.491000 AM
01,5213013,105,-122.401118,37.79482,10/1/2012 11:47:00.498000 AM
01,5213013,105,-122.396996,37.795415,10/1/2012 11:49:00.506000 AM
03,5214578,301,-122.420198,37.787797,10/1/2012 2:18:00.459000 PM
03,5214578,301,-122.44688,37.78737,10/1/2012 2:36:00.466000 PM
03,5214578,301,-122.433151,37.786158,10/1/2012 2:26:00.472000 PM
03,5214578,301,-122.408677,37.789266,10/1/2012 2:11:00.478000 PM
03,5214578,301,-122.400674,37.790298,10/1/2012 2:05:00.482000 PM
01,5213053,112,-122.401118,37.79482,10/3/2012 5:34:00.519000 PM
01,5213053,112,-122.396996,37.795415,10/3/2012 5:36:00.526000 PM
01,5213053,112,-122.433669,37.789839,10/3/2012 5:16:00.533000 PM
01,5213053,112,-122.409774,37.79379,10/3/2012 5:28:00.539000 PM
01,5213053,112,-122.420714,37.792385,10/3/2012 5:23:00.546000 PM
01,5213053,112,-122.446885,37.787149,10/3/2012 5:10:00.552000 PM
02,5214646,202,-122.408677,37.789266,10/1/2012 2:20:00.726000 PM
02,5214646,202,-122.473077,37.782498,10/1/2012 2:55:00.733000 PM
02,5214646,202,-122.446908,37.787328,10/1/2012 2:41:00.740000 PM
02,5214646,202,-122.394917,37.794454,10/1/2012 2:11:00.746000 PM
01,5213084,107,-122.446885,37.787149,10/3/2012 6:06:00.758000 PM
02,5214646,202,-122.420198,37.787797,10/1/2012 2:26:00.752000 PM
03,5214611,351,-122.44688,37.78737,10/2/2012 10:39:00.712000 PM
03,5214611,351,-122.400674,37.790298,10/2/2012 10:15:00.720000 PM
03,5214611,351,-122.420198,37.787797,10/2/2012 10:24:00.728000 PM
03,5214611,351,-122.408677,37.789266,10/2/2012 10:19:00.734000 PM
03,5214611,351,-122.433151,37.786158,10/2/2012 10:30:00.742000 PM
02,5214710,203,-122.40793,37.7883,10/1/2012 7:22:00.879000 AM
