eventId,serviceDate,date,tripId,tripStart,routeId,routeNumber,routeNameShort,routeName,routeVLD,runNumber,direction,stopSequenceNr,stopId,stopNumber,stopNameShort,stopName,arrivalScheduled,departureScheduled,arrivalActual,departureActual,mileage,vehicleId,vehicleTechnicalId,vehicleNumber,vehiclePlate,vehicleVLD,patternId,patternNumber,patternNameShort,patternName,patternType,patternVld,blockId,blockNumber,blockVld,daytyp_id,daytyp_number,daytyp_short,daytyp_long,daytyp_vld,branchId,branchNumber,branchNameShort,branchName,branchVld,longitudeScheduled,latitudeScheduled,longitudeActual,latitudeActual,directionScheduled,directionActual
206851248,00:00.0,00:00.0,165249,21660,305,2,2,2,531,1,2,1,1906,1357,KALK,"ZŸrich, Kalkbreite",21660,21660,21736,21736,329190500,834,3026ZH,3026,Video,1457,4409,40,40,FŸr Ausfahrt,1,7706,32302,10001,17449,2590,6002,002-14N2,Neue Laubegg und ZW-Ausfahrt..,1383,15,1,VBZ01,Tram,15,30674684,170548777,30674000,170548945,292,289
206849801,00:00.0,00:00.0,165249,21660,305,2,2,2,531,1,2,2,2248,1579,LOCH,"ZŸrich, Lochergut",21702,21732,21784,21798,329190755,834,3026ZH,3026,Video,1457,4409,40,40,FŸr Ausfahrt,1,7706,32302,10001,17449,2590,6002,002-14N2,Neue Laubegg und ZW-Ausfahrt..,1383,15,1,VBZ01,Tram,15,30661636,170551845,30661969,170552053,300,289
206851234,00:00.0,00:00.0,165249,21660,305,2,2,2,531,1,2,3,2250,3019,ZYPR,"ZŸrich, Zypressenstrasse",21768,21792,21840,21850,329191064,834,3026ZH,3026,Video,1457,4409,40,40,FŸr Ausfahrt,1,7706,32302,10001,17449,2590,6002,002-14N2,Neue Laubegg und ZW-Ausfahrt..,1383,15,1,VBZ01,Tram,15,30648863,170556692,30649250,170556638,303,305
206842821,00:00.0,00:00.0,165249,21660,305,2,2,2,531,1,2,4,1535,48,ALBP,"ZŸrich, Albisriederplatz",21846,21888,21904,21923,329191388,834,3026ZH,3026,Video,1457,4409,40,40,FŸr Ausfahrt,1,7706,32302,10001,17449,2590,6002,002-14N2,Neue Laubegg und ZW-Ausfahrt..,1383,15,1,VBZ01,Tram,15,30636340,170562184,30636435,170562159,308,296
206849832,00:00.0,00:00.0,165249,21660,305,2,2,2,531,1,2,5,2245,1548,LETG,"ZŸrich, Letzigrund",21948,21966,21991,22002,329191987,834,3026ZH,3026,Video,1457,4409,40,40,FŸr Ausfahrt,1,7706,32302,10001,17449,2590,6002,002-14N2,Neue Laubegg und ZW-Ausfahrt..,1383,15,1,VBZ01,Tram,15,30612617,170572669,30612695,170572806,303,304
206853613,00:00.0,00:00.0,165249,21660,305,2,2,2,531,1,2,6,2253,883,FREI,"ZŸrich, Freihofstrasse",22014,22032,22056,22067,329192363,834,3026ZH,3026,Video,1457,4409,40,40,FŸr Ausfahrt,1,7706,32302,10001,17449,2590,6002,002-14N2,Neue Laubegg und ZW-Ausfahrt..,1383,15,1,VBZ01,Tram,15,30597788,170579767,30598108,170579731,301,305
206848602,00:00.0,00:00.0,165249,21660,305,2,2,2,531,1,2,7,2244,1364,KAPP,"ZŸrich, Kappeli",22080,22098,22132,22146,329192796,834,3026ZH,3026,Video,1457,4409,40,40,FŸr Ausfahrt,1,7706,32302,10001,17449,2590,6002,002-14N2,Neue Laubegg und ZW-Ausfahrt..,1383,15,1,VBZ01,Tram,15,30580810,170586755,30580766,170586905,300,296
206847079,00:00.0,00:00.0,165249,21660,305,2,2,2,531,1,2,8,2770,1026,GRIM,"ZŸrich, Grimselstrasse",22164,22182,22214,22225,329193224,834,3026ZH,3026,Video,1457,4409,40,40,FŸr Ausfahrt,1,7706,32302,10001,17449,2590,6002,002-14N2,Neue Laubegg und ZW-Ausfahrt..,1383,15,1,VBZ01,Tram,15,30562966,170593362,30563117,170593482,287,283
206849594,00:00.0,00:00.0,165249,21660,305,2,2,2,531,1,2,9,2535,1570,LIND,"ZŸrich, Lindenplatz",22236,22254,22274,22288,329193539,834,3026ZH,3026,Video,1457,4409,40,40,FŸr Ausfahrt,1,7706,32302,10001,17449,2590,6002,002-14N2,Neue Laubegg und ZW-Ausfahrt..,1383,15,1,VBZ01,Tram,15,30548863,170596372,30549002,170596594,280,284
206854025,00:00.0,00:00.0,165249,21660,305,2,2,2,531,1,2,10,2818,137,BACH,"ZŸrich, Bachmattstrasse",22290,22302,22331,22341,329193828,834,3026ZH,3026,Video,1457,4409,40,40,FŸr Ausfahrt,1,7706,32302,10001,17449,2590,6002,002-14N2,Neue Laubegg und ZW-Ausfahrt..,1383,15,1,VBZ01,Tram,15,30537368,170601042,30537391,170601286,310,309
206847094,00:00.0,00:00.0,165249,21660,305,2,2,2,531,1,2,11,1310,821,FARB,"ZŸrich, Farbhof",22356,22356,22411,22470,329194200,834,3026ZH,3026,Video,1457,4409,40,40,FŸr Ausfahrt,1,7706,32302,10001,17449,2590,6002,002-14N2,Neue Laubegg und ZW-Ausfahrt..,1383,15,1,VBZ01,Tram,15,30524692,170606338,30524422,170606720,160,158
