abbr,date/time,temperature (degrees celsius),pressure (hpa),humidity (%),dew point (degrees celsius),wind direction (degree),wind speed (knots),wind speed (kmh),cloud amount (octas),altitude (metres)
KLO,2.0121E+11,12.1,1019.4,91,10.7,324,3,5,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,4000
KLO,2.0121E+11,12.1,1019.2,92,10.9,315,2,4,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,4000
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,3000
KLO,2.0121E+11,12.1,1019.2,92.3,10.8,311,2,4,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,3000
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,3000
KLO,2.0121E+11,12,1019.2,92.4,10.8,310,2,3.2,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,3000
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,3000
KLO,2.0121E+11,12.1,1019.2,92.4,10.9,292,1,2.2,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,3000
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,3000
KLO,2.0121E+11,12,1019.2,92.2,10.8,63,1,1.4,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,2500
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,3000
KLO,2.0121E+11,12.1,1019,92.2,10.8,143,1,2.2,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,3500
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,4000
KLO,2.0121E+11,12.3,1019,90.9,10.8,90,1,1.4,7,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,8,4000
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,4000
KLO,2.0121E+11,12.4,1019.3,89.6,10.8,225,1,1.1,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,4500
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,5000
KLO,2.0121E+11,12.9,1019.4,87.2,10.8,180,1,1.8,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,7000
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,9000
KLO,2.0121E+11,13.6,1019.1,83.2,10.8,221,2,4,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,10000
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,13000
KLO,2.0121E+11,14.3,1018.8,76.7,10.3,207,2,3.6,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,18000
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,18000
KLO,2.0121E+11,15.2,1018.4,72,10.2,218,2,4.3,7,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,20000
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,22000
KLO,2.0121E+11,16,1018.1,66.1,9.7,219,3,5,6,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,7,22000
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,25000
KLO,2.0121E+11,15.8,1018,65.6,9.3,4,3,6.1,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,30000
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,30000
KLO,2.0121E+11,15.6,1017.9,66.5,9.4,338,1,2.2,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,7,30000
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,7,30000
KLO,2.0121E+11,15.6,1017.8,67.7,9.7,34,1,1.1,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,30000
KLO,2.0121E+11,,,,,,,,8,
